0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","Jun 3, 2024 - Jun 7, 2024 (5 days)
","08:30
–
16:30
EDT
"
0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","Jun 10, 2024 - Jun 14, 2024 (5 days)
","11:30
–
19:30
EDT
"
0,https://www.exitcertified.com/it-training/security/certified-ethical-hacker-v9-48899-detail.html,"Certified Ethical Hacker (CEHv12)
",3595,USD,"3617V
","5 days
","Jul 22, 2024 - Jul 26, 2024 (5 days)
","08:30
–
16:30
EDT
"
1,https://www.exitcertified.com/it-training/ec-council/ethical-hacker/computer-hacking-forensic-investigator-33660-detail.html,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
",3695,USD,"3401
","5 days
","Jul 15, 2024 - Jul 19, 2024 (5 days)
","08:30
–
16:30
EDT
"
1,https://www.exitcertified.com/it-training/ec-council/ethical-hacker/computer-hacking-forensic-investigator-33660-detail.html,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
",3695,USD,"3401
","5 days
","Sep 16, 2024 - Sep 20, 2024 (5 days)
","08:30
–
16:30
EDT
"
2,https://www.exitcertified.com/it-training/cisco/security/web-email-security/secure-email-appliance-3-1-66543-detail.html,"Securing Email with Cisco Email Security Appliance v3.1
",2750,USD,"SESA-NTO
","4 days
","Jul 29, 2024 - Aug 1, 2024 (4 days)
","10:00 AM
–
6:00 PM
EDT
"
2,https://www.exitcertified.com/it-training/cisco/security/web-email-security/secure-email-appliance-3-1-66543-detail.html,"Securing Email with Cisco Email Security Appliance v3.1
",2750,USD,"SESA-NTO
","4 days
","Nov 12, 2024 - Nov 15, 2024 (4 days)
","10:00 AM
–
6:00 PM
EDT
"
